"Freq [GHz]","dB(S(1,1)) []"
2,-5.23085279607986
2.1,-6.03536779989391
2.2,-7.04105099879792
2.3,-8.29279146623825
2.4,-9.84268581881177
2.5,-11.7573866960859
2.6,-14.1357606619033
2.7,-17.147879017384
2.8,-21.1170748680938
2.9,-26.5248851655306
3,-30.3605252953494
3.1,-26.6587420791742
3.2,-23.3308906322881
3.3,-21.2569200468069
3.4,-19.9296149357591
3.5,-19.0528710381671
3.6,-18.4579401924958
3.7,-18.0416119648774
3.8,-17.7398091282658
3.9,-17.5158358812512
4,-17.3537120440227
4.1,-17.2528133019919
4.2,-17.2228803439539
4.3,-17.279623687939
4.4,-17.4412085370039
4.5,-17.7254185606352
4.6,-18.1466233896095
4.7,-18.7107315859625
4.8,-19.4046911701635
4.9,-20.1750190373631
5,-20.8926915294804
5.1,-21.3305240496403
5.2,-21.2415504760662
5.3,-20.5608541750859
5.4,-19.4742509218085
5.5,-18.2389419158969
5.6,-17.0333893827409
5.7,-15.945911442037
5.8,-15.0108743739153
5.9,-14.2370184013868
6,-13.6220465086339
6.1,-13.1589573401735
6.2,-12.8383880267402
6.3,-12.649100655374
6.4,-12.577480483979
6.5,-12.6063026267664
6.6,-12.7128374055483
6.7,-12.8665921451455
6.8,-13.0277549304907
6.9,-13.1486261571253
7,-13.1808918453536
7.1,-13.0890714236804
7.2,-12.8641839365251
7.3,-12.5277985549555
7.4,-12.1227882933806
7.5,-11.6978696056142
7.6,-11.2956341245974
7.7,-10.9478728170938
7.8,-10.6764102263721
7.9,-10.4962724473138
8,-10.418944653405
8.1,-10.4545564644757
8.2,-10.6123526574876
8.3,-10.8988481275677
8.4,-11.3129098627391
8.5,-11.8370497753228
8.6,-12.4253136581306
8.7,-12.9923118759426
8.8,-13.4169897772038
8.9,-13.5799821809049
9,-13.427015704045
9.1,-13.0018109140173
9.2,-12.4120889306623
9.3,-11.7724398859521
9.4,-11.1745145351221
9.5,-10.6849926098325
9.6,-10.3517036687218
9.7,-10.2065335934327
9.8,-10.2640163153064
9.9,-10.5195647384887
10,-10.9513616365551
