"Freq [GHz]","im(Z(1,1)) [] - buffer2='1.5mm' cl='13mm' ft='0.95'","re(Z(1,1)) [] - buffer2='1.5mm' cl='13mm' ft='0.95'"
2,24.0170235983813,17.2587241915718
2.1,31.8990225795427,24.0376114722036
2.2,38.2181903655833,35.4834314154914
2.3,37.8640367855382,51.6250513673608
2.4,26.1270892574082,64.6570145547302
2.5,10.9936703375549,65.0806670109566
2.6,3.24941735505986,57.8275871727445
2.7,2.56999713553439,50.9928876945774
2.8,5.30321218241817,47.1246034566096
2.9,9.10451119215336,46.2077428057225
3,12.6902541633484,47.7322658602278
3.1,15.3070385249536,51.1251196777433
3.2,16.5125222910671,55.9096371266181
3.3,15.7951819503088,61.8325200458841
3.4,11.9868358757391,68.3372603659367
3.5,3.89010693527898,72.962448140576
3.6,-6.21115303351998,71.8549940036797
3.7,-12.956338491965,65.6244923887327
3.8,-15.0079332127111,58.7399719276926
3.9,-14.7110374923321,53.4128412502685
4,-13.3252161758877,50.7391267896817
4.1,-11.6641772415444,46.9993860986948
4.2,-9.1628736657239,44.9997189219865
4.3,-7.59811121824816,43.7554449589188
4.4,-4.6462233548935,42.5752610339136
4.5,-2.25767457625293,44.473316354213
4.6,-2.82862824933876,44.9518543816201
4.7,-1.70838452849501,45.4496301378374
4.8,-2.63423527782009,47.7471808054573
4.9,-4.83423425112664,46.9036951112164
5,-5.7863796534304,45.3127558990462
5.1,-5.99200012832567,43.7589161076467
5.2,-7.09393747661467,41.2276305625555
5.3,-5.72238220733037,38.1922861541394
5.4,-3.63240476124639,35.721530820347
5.5,-0.785706182287003,33.7687944130589
5.6,2.6733227240852,32.5835909880307
5.7,6.45952763972317,32.3465235421486
5.8,10.2298650949348,33.0985357002564
5.9,13.6680645122837,34.7351550640264
6,16.5486960526078,37.0484091666771
6.1,19.5726171036709,40.2760628759662
6.2,21.9260141796294,44.6338290985823
6.3,23.0777160517688,50.0887456903254
6.4,22.3561576482255,56.31384858579
6.5,19.1455494265368,62.483033972424
6.6,13.3413765957347,67.2399252642196
6.7,5.83474216304283,69.1732671821266
6.8,-1.61214771629434,67.7093453115136
6.9,-7.306269292509,63.5549105220141
7,-10.4878275631733,58.1434403488639
7.1,-11.3440220943648,52.7670567994662
7.2,-10.505847303335,48.1815402216029
7.3,-8.63170193689383,44.6757069467943
7.4,-6.24667096684647,42.272505666079
7.5,-3.73851076165877,40.8775196081254
7.6,-1.40265740887813,40.3463448883676
7.7,0.519152484376594,40.493595924937
7.8,1.83172348135259,41.0711002651794
7.9,2.42319472518649,41.7466677359497
8,2.33795891243712,42.1256448658742
8.1,1.83548061401261,41.8493076984339
8.2,1.35524103252112,40.7419957020578
8.3,1.36462552596588,38.8997319075821
8.4,2.18639614911079,36.636210106355
8.5,3.92906952798426,34.3338410650786
8.6,6.53554822918676,32.3188159260057
8.7,9.87451121988137,30.8195962773508
8.8,13.8089315414344,29.9887529248283
8.9,18.2244376464753,29.9476122352537
9,23.0262660826007,30.8303746310455
9.1,28.1136214206079,32.8221903169654
9.2,33.3289755208134,36.1915464965137
9.3,38.3647887655629,41.3091332152498
9.4,42.5966951884783,48.6127065502115
9.5,44.8331438661556,58.3940587008561
9.6,43.1595966624437,70.1614816248219
9.7,35.6142842583518,81.5318568949524
9.8,22.575829940901,88.0946602791931
9.9,8.58331445247066,86.777965945901
10,-1.09189530948103,79.4937466073028
